答卷编号,IP地址,性别(有偿),年龄(有偿),城市(有偿),图片(微信),来源,昵称(微信),性别(微信),城市(微信),开始时间,结束时间,状态,Q1_您的受教育情况,Q2_您认为社会主义核心价值观中哪几个词相对来说更是国人所需要努力达到的？（不多于4个）_富强,Q2_您认为社会主义核心价值观中哪几个词相对来说更是国人所需要努力达到的？（不多于4个）_民主,Q2_您认为社会主义核心价值观中哪几个词相对来说更是国人所需要努力达到的？（不多于4个）_自由,Q2_您认为社会主义核心价值观中哪几个词相对来说更是国人所需要努力达到的？（不多于4个）_平等,Q2_您认为社会主义核心价值观中哪几个词相对来说更是国人所需要努力达到的？（不多于4个）_文明,Q2_您认为社会主义核心价值观中哪几个词相对来说更是国人所需要努力达到的？（不多于4个）_和谐,Q2_您认为社会主义核心价值观中哪几个词相对来说更是国人所需要努力达到的？（不多于4个）_公正,Q2_您认为社会主义核心价值观中哪几个词相对来说更是国人所需要努力达到的？（不多于4个）_法治,Q2_您认为社会主义核心价值观中哪几个词相对来说更是国人所需要努力达到的？（不多于4个）_爱国,Q2_您认为社会主义核心价值观中哪几个词相对来说更是国人所需要努力达到的？（不多于4个）_敬业,Q2_您认为社会主义核心价值观中哪几个词相对来说更是国人所需要努力达到的？（不多于4个）_诚信,Q2_您认为社会主义核心价值观中哪几个词相对来说更是国人所需要努力达到的？（不多于4个）_友善,Q3_（可不填）请简述你选择的理由,Q4_十三五规划建议的目标您认为哪个更有望见到明显成效？（不多于2个）_全面建成小康社会,Q4_十三五规划建议的目标您认为哪个更有望见到明显成效？（不多于2个）_经济保持中高速增长,Q4_十三五规划建议的目标您认为哪个更有望见到明显成效？（不多于2个）_人民生活水平和质量显著提高,Q4_十三五规划建议的目标您认为哪个更有望见到明显成效？（不多于2个）_国民素质和社会文明程度显著提高,Q4_十三五规划建议的目标您认为哪个更有望见到明显成效？（不多于2个）_生态环境质量总体改善,Q4_十三五规划建议的目标您认为哪个更有望见到明显成效？（不多于2个）_各方面制度更加成熟更加定型,Q4_十三五规划建议的目标您认为哪个更有望见到明显成效？（不多于2个）_不是很了解,Q5_请问你对于中国加入SDR（特别提款权协定）有何看法？_此举说明我国社会主义发展良好，我国经济实力以及综合国力提升得到世界认可的体现,Q5_请问你对于中国加入SDR（特别提款权协定）有何看法？_中国加入SDR是种必然趋势，无论是哪种政治制度效果相似,Q5_请问你对于中国加入SDR（特别提款权协定）有何看法？_社会主义国家不需要过多关心资本主义的市场经济,Q6_当今现存的五个社会主义国家，经济发展状况各自相比有较大的差距，对此您有什么看法？_国际经济的发展时期以及发展阶段不同，经济存在差距是正常现象,Q6_当今现存的五个社会主义国家，经济发展状况各自相比有较大的差距，对此您有什么看法？_说明政策对于社会主义先天性地有极大影响，政府调控才是国家社会主义的主导,Q6_当今现存的五个社会主义国家，经济发展状况各自相比有较大的差距，对此您有什么看法？_当前社会主义发展存在不均衡，但是各社会主义正在共同努力谋求和平发展,Q7_你认为十三五强调的供给侧转移（即将供给更多地放在于底层人民有益的地方）有何看法？_政府深刻了解到了当前我国社会主义发展的不平衡，是种合时宜之举,Q7_你认为十三五强调的供给侧转移（即将供给更多地放在于底层人民有益的地方）有何看法？_供给侧转移有利于使社会福利实现均衡化，使更多的保障资源流向社会底层,Q7_你认为十三五强调的供给侧转移（即将供给更多地放在于底层人民有益的地方）有何看法？_供给侧转移是社会主义发展的必然的无奈之举，说明当前社会主义发展状况堪忧,Q8_以中国为主的主要社会主义国家由于发展态势良好受到了他国的干预，如美国等国提高门槛，设立TPP，对此，你有何看法?_中国作为社会主义发展最为良好的一国，在受到多种阻碍时也积极地构建自贸区，社会主义具有强劲发展能力,Q8_以中国为主的主要社会主义国家由于发展态势良好受到了他国的干预，如美国等国提高门槛，设立TPP，对此，你有何看法?_社会主义受到资本主义的阻力可以理解，但是这也正是中国等社会主义国家的发展黄金期，是挑战更是机遇,Q8_以中国为主的主要社会主义国家由于发展态势良好受到了他国的干预，如美国等国提高门槛，设立TPP，对此，你有何看法?_我们社会主义国家同命运，共存亡，作为经济全球化的一大成员，时刻为全球发展注入了新的活力,Q9_请问您读书看报，关注新闻动态的频率是？,Q10_请问您对于孔子学院遍及全球的看法是？_扩大中国在国际上的影响,Q10_请问您对于孔子学院遍及全球的看法是？_有利于中国相关产业在国外的发展,Q10_请问您对于孔子学院遍及全球的看法是？_实质上并没有什么作用,Q10_请问您对于孔子学院遍及全球的看法是？_提高中国软实力,Q11_请问您对大型非物质文化遗产纪录片《舌尖上的中国》以及《指尖上的传承》的具体内容知道哪些？_自然的馈赠,Q11_请问您对大型非物质文化遗产纪录片《舌尖上的中国》以及《指尖上的传承》的具体内容知道哪些？_主食的故事,Q11_请问您对大型非物质文化遗产纪录片《舌尖上的中国》以及《指尖上的传承》的具体内容知道哪些？_转化的灵感,Q11_请问您对大型非物质文化遗产纪录片《舌尖上的中国》以及《指尖上的传承》的具体内容知道哪些？_时间的味道,Q11_请问您对大型非物质文化遗产纪录片《舌尖上的中国》以及《指尖上的传承》的具体内容知道哪些？_厨房的秘密,Q11_请问您对大型非物质文化遗产纪录片《舌尖上的中国》以及《指尖上的传承》的具体内容知道哪些？_五味的调和,Q11_请问您对大型非物质文化遗产纪录片《舌尖上的中国》以及《指尖上的传承》的具体内容知道哪些？_我们的田野,Q11_请问您对大型非物质文化遗产纪录片《舌尖上的中国》以及《指尖上的传承》的具体内容知道哪些？_泥人张,Q11_请问您对大型非物质文化遗产纪录片《舌尖上的中国》以及《指尖上的传承》的具体内容知道哪些？_紫砂,Q11_请问您对大型非物质文化遗产纪录片《舌尖上的中国》以及《指尖上的传承》的具体内容知道哪些？_歙砚,Q11_请问您对大型非物质文化遗产纪录片《舌尖上的中国》以及《指尖上的传承》的具体内容知道哪些？_玉雕,Q12_请问你对于“互联网+”时代下，文化教育方式多样化，教学工具多元化，各种文化资源可从网络上获取的现象如何看待？,Q13_您认为以下说法正确吗_我国《宪法》始建于1954年，至今经过了三次修改；,Q13_您认为以下说法正确吗_违法与犯罪的区别仅限于是否触犯《刑法》；,Q13_您认为以下说法正确吗_刑法中单项罪名有期徒刑不大于25年；,Q13_您认为以下说法正确吗_某专利的持有人或持有方所持专利权没有时期限制；,Q13_您认为以下说法正确吗_《婚姻法》中规定财产分割协议有强制执行力；,Q13_您认为以下说法正确吗_《旅游法》于2013年4月由全国人大审议通过；,Q13_您认为以下说法正确吗_有意或无意购买贼车（以自行车为例）都有归还失主的义务，并且没有经济补偿；,Q15_我国刑法中对他贪污受贿一类犯罪有一项“巨额财产来源不明罪”罪名，对此您的见解是（最多选2项）_应保留，此条法律对贪官们形成了有力的打击和震慑；,Q15_我国刑法中对他贪污受贿一类犯罪有一项“巨额财产来源不明罪”罪名，对此您的见解是（最多选2项）_应保留，但更应作为定罪参考而非单项罪名；,Q15_我国刑法中对他贪污受贿一类犯罪有一项“巨额财产来源不明罪”罪名，对此您的见解是（最多选2项）_应废止，因为可能对选择性执法开方便之门；,Q15_我国刑法中对他贪污受贿一类犯罪有一项“巨额财产来源不明罪”罪名，对此您的见解是（最多选2项）_应废止，因为是否保留财产来源是公民的基本权利。,Q16_近年屡现“医闹”事件，医患纠纷成为社会焦点，从法治的角度，您的看法是（最多选2项）_患者家属殴打、逼医生集体下跪等行为已触犯刑法；,Q16_近年屡现“医闹”事件，医患纠纷成为社会焦点，从法治的角度，您的看法是（最多选2项）_《医疗事故处理条例》作为行政法规没有足够的效力解决医闹乱象，应适当修订其中一些条款并加入刑法；,Q16_近年屡现“医闹”事件，医患纠纷成为社会焦点，从法治的角度，您的看法是（最多选2项）_应通过规范出台相关法律法规来规范医疗行业乱收费、药价虚高等现象；,Q16_近年屡现“医闹”事件，医患纠纷成为社会焦点，从法治的角度，您的看法是（最多选2项）_医疗体系的弊病是一个系统问题，很难单靠立法与执法缓解矛盾、解决问题。,Q17_拐卖儿童的犯罪案件时被报道，为全社会深恶痛绝。如何才能降低乃至杜绝此类案件的发生、更好地保护儿童，以下三条举措中您认为比较好的是（最多选2项）_人贩子最高量刑应当定为死刑，只有加大量刑才能最有效地打击拐卖人口犯罪；,Q17_拐卖儿童的犯罪案件时被报道，为全社会深恶痛绝。如何才能降低乃至杜绝此类案件的发生、更好地保护儿童，以下三条举措中您认为比较好的是（最多选2项）_应当出台相关法律，建立合法的平台与审批手续，允许双方自愿 过继 和 收养 子女；,Q17_拐卖儿童的犯罪案件时被报道，为全社会深恶痛绝。如何才能降低乃至杜绝此类案件的发生、更好地保护儿童，以下三条举措中您认为比较好的是（最多选2项）_无法生育或子女夭折的夫妻应谋求其他人道方式解决困难，自愿过继与领养决不能合法化。,Q18_您认为我国立法、执法等法治方面中最严重的问题有_公民有法不依、知法犯法,Q18_您认为我国立法、执法等法治方面中最严重的问题有_政府执法不严、执法犯法,Q18_您认为我国立法、执法等法治方面中最严重的问题有_政府执法体系权责脱节，出现权钱交易，以权压法,Q18_您认为我国立法、执法等法治方面中最严重的问题有_公民法律与权力意识淡薄,Q18_您认为我国立法、执法等法治方面中最严重的问题有_政府立法效率低，法律条款漏洞很多，部分条款可操作性不强,Q18_您认为我国立法、执法等法治方面中最严重的问题有_政治法律不分家（在我国政府是执法主体）,Q18_您认为我国立法、执法等法治方面中最严重的问题有_司法公信力低,Q18_您认为我国立法、执法等法治方面中最严重的问题有_基层法治工作薄弱,Q19_您认为，法律存在的根本目的是_构建理想社会的一种手段,Q19_您认为，法律存在的根本目的是_保护和扩大个体自由,Q19_您认为，法律存在的根本目的是_预防犯罪，制裁犯罪,Q19_您认为，法律存在的根本目的是_由国家按统治阶级的利益制定或认可，并由国家强制力保证实施的规范综合,Q20_您认同中国的裁军政策吗？,Q21_您认为中国与其他国家发生争端的主要原因是？_意识形态,Q21_您认为中国与其他国家发生争端的主要原因是？_经济利益,Q21_您认为中国与其他国家发生争端的主要原因是？_领土争端,Q22_下列关于社会主义和共产主义的说法您认为正确的是？,Q23_据您了解_社会主义的分配方式是,Q23_据您了解_共产主义的分配方式是,Q24_请您判断_中国特色社会主义社会是完全按劳分配的,Q24_请您判断_社会主义就是马克思提出的社会主义,Q25_（可不填）您对本次调查以及我们的课题有何意见建议
76,223.104.11.121,,,,,,,,,2015-12-02 18:19:16,2015-12-02 18:24:03,正常完成,本科,,,,,,,,,,,诚信,友善,,,经济保持中高速增长,人民生活水平和质量显著提高,,,,,,中国加入SDR是种必然趋势，无论是哪种政治制度效果相似,,国际经济的发展时期以及发展阶段不同，经济存在差距是正常现象,,,,供给侧转移有利于使社会福利实现均衡化，使更多的保障资源流向社会底层,,,社会主义受到资本主义的阻力可以理解，但是这也正是中国等社会主义国家的发展黄金期，是挑战更是机遇,,一周一次,,,,提高中国软实力,,主食的故事,,,,,,,,,,有利于文化教育更便捷更广泛的交流和传播,正确,错误,不清楚,错误,不清楚,正确,不清楚,应保留，此条法律对贪官们形成了有力的打击和震慑；,,,,患者家属殴打、逼医生集体下跪等行为已触犯刑法；,,,,,应当出台相关法律，建立合法的平台与审批手续，允许双方自愿 过继 和 收养 子女；,,,,,公民法律与权力意识淡薄,,,,基层法治工作薄弱,,,预防犯罪，制裁犯罪,,认同，有助于提高军队素质,,经济利益,,社会主义社会是共产主义社会的初级阶段,按劳分配,按需分配,是,否,
77,36.45.12.195,,,,,,,,,2015-12-02 18:22:53,2015-12-02 18:24:24,正常完成,本科,,民主,自由,,,和谐,,法治,,,,,,全面建成小康社会,,,,,,,此举说明我国社会主义发展良好，我国经济实力以及综合国力提升得到世界认可的体现,,,国际经济的发展时期以及发展阶段不同，经济存在差距是正常现象,,,政府深刻了解到了当前我国社会主义发展的不平衡，是种合时宜之举,,,中国作为社会主义发展最为良好的一国，在受到多种阻碍时也积极地构建自贸区，社会主义具有强劲发展能力,,,不太关注,,,实质上并没有什么作用,提高中国软实力,,,,,,,,泥人张,,,,知识不是廉价的，能够随意获取的知识实际上并无多大用处,不清楚,不清楚,不清楚,不清楚,不清楚,不清楚,不清楚,,,,应废止，因为是否保留财产来源是公民的基本权利。,,,,医疗体系的弊病是一个系统问题，很难单靠立法与执法缓解矛盾、解决问题。,,,无法生育或子女夭折的夫妻应谋求其他人道方式解决困难，自愿过继与领养决不能合法化。,公民有法不依、知法犯法,,,,,,,,构建理想社会的一种手段,,,,认同，有助于提高军队素质,,经济利益,,社会主义社会是共产主义社会的初级阶段,按需分配,按资本分配,是,是,
78,36.45.11.29,,,,,,,,,2015-12-02 18:22:57,2015-12-02 18:27:46,正常完成,本科,,,自由,平等,,,公正,法治,,,,,,,经济保持中高速增长,,,,各方面制度更加成熟更加定型,,,中国加入SDR是种必然趋势，无论是哪种政治制度效果相似,,,说明政策对于社会主义先天性地有极大影响，政府调控才是国家社会主义的主导,,,供给侧转移有利于使社会福利实现均衡化，使更多的保障资源流向社会底层,,,,我们社会主义国家同命运，共存亡，作为经济全球化的一大成员，时刻为全球发展注入了新的活力,一周一次,,,,提高中国软实力,,主食的故事,转化的灵感,时间的味道,,,,泥人张,紫砂,,,有利于文化教育更便捷更广泛的交流和传播,正确,错误,正确,正确,正确,正确,错误,,应保留，但更应作为定罪参考而非单项罪名；,,,,《医疗事故处理条例》作为行政法规没有足够的效力解决医闹乱象，应适当修订其中一些条款并加入刑法；,,,人贩子最高量刑应当定为死刑，只有加大量刑才能最有效地打击拐卖人口犯罪；,应当出台相关法律，建立合法的平台与审批手续，允许双方自愿 过继 和 收养 子女；,,,,,,政府立法效率低，法律条款漏洞很多，部分条款可操作性不强,,司法公信力低,,,,预防犯罪，制裁犯罪,由国家按统治阶级的利益制定或认可，并由国家强制力保证实施的规范综合,认同，有助于减少国家军费开支,,经济利益,,社会主义思想包含共产主义思想,按需分配,按需分配,否,否,
79,223.104.11.99,,,,,,,,,2015-12-02 18:26:33,2015-12-02 18:30:53,正常完成,本科,,民主,自由,,,,公正,法治,,,,,,,,人民生活水平和质量显著提高,,生态环境质量总体改善,,,此举说明我国社会主义发展良好，我国经济实力以及综合国力提升得到世界认可的体现,,,,,当前社会主义发展存在不均衡，但是各社会主义正在共同努力谋求和平发展,政府深刻了解到了当前我国社会主义发展的不平衡，是种合时宜之举,,,中国作为社会主义发展最为良好的一国，在受到多种阻碍时也积极地构建自贸区，社会主义具有强劲发展能力,,,每天一次,扩大中国在国际上的影响,,,提高中国软实力,,主食的故事,,时间的味道,,,,,,,,有利于文化教育更便捷更广泛的交流和传播,不清楚,正确,正确,错误,正确,不清楚,正确,应保留，此条法律对贪官们形成了有力的打击和震慑；,,,,,《医疗事故处理条例》作为行政法规没有足够的效力解决医闹乱象，应适当修订其中一些条款并加入刑法；,,,人贩子最高量刑应当定为死刑，只有加大量刑才能最有效地打击拐卖人口犯罪；,,,公民有法不依、知法犯法,政府执法不严、执法犯法,,,,,,,构建理想社会的一种手段,,,,认同，有助于减少国家军费开支,,,领土争端,共产主义思想包含社会主义思想,按劳分配,按需分配,是,否,
80,111.30.132.205,,,,,,,,,2015-12-02 18:23:30,2015-12-02 18:31:17,正常完成,本科,富强,民主,自由,,文明,,,,,,,,,,,,,,各方面制度更加成熟更加定型,不是很了解,此举说明我国社会主义发展良好，我国经济实力以及综合国力提升得到世界认可的体现,中国加入SDR是种必然趋势，无论是哪种政治制度效果相似,,,说明政策对于社会主义先天性地有极大影响，政府调控才是国家社会主义的主导,当前社会主义发展存在不均衡，但是各社会主义正在共同努力谋求和平发展,,供给侧转移有利于使社会福利实现均衡化，使更多的保障资源流向社会底层,供给侧转移是社会主义发展的必然的无奈之举，说明当前社会主义发展状况堪忧,中国作为社会主义发展最为良好的一国，在受到多种阻碍时也积极地构建自贸区，社会主义具有强劲发展能力,社会主义受到资本主义的阻力可以理解，但是这也正是中国等社会主义国家的发展黄金期，是挑战更是机遇,,一周一次,,,实质上并没有什么作用,,,主食的故事,,,厨房的秘密,,,,紫砂,,,知识不是廉价的，能够随意获取的知识实际上并无多大用处,错误,不清楚,不清楚,不清楚,错误,错误,正确,,应保留，但更应作为定罪参考而非单项罪名；,,,患者家属殴打、逼医生集体下跪等行为已触犯刑法；,,应通过规范出台相关法律法规来规范医疗行业乱收费、药价虚高等现象；,,,应当出台相关法律，建立合法的平台与审批手续，允许双方自愿 过继 和 收养 子女；,无法生育或子女夭折的夫妻应谋求其他人道方式解决困难，自愿过继与领养决不能合法化。,公民有法不依、知法犯法,,,,政府立法效率低，法律条款漏洞很多，部分条款可操作性不强,,司法公信力低,,构建理想社会的一种手段,,,由国家按统治阶级的利益制定或认可，并由国家强制力保证实施的规范综合,认同，有助于提高军队素质,,经济利益,,社会主义思想和共产主义思想是相同的,按劳动价格分配,按资本分配,否,是,
81,223.104.11.118,,,,,,,,,2015-12-02 18:25:37,2015-12-02 18:31:27,正常完成,本科,,,,平等,,,公正,,,敬业,,,,,,,,,,不是很了解,,,社会主义国家不需要过多关心资本主义的市场经济,,,当前社会主义发展存在不均衡，但是各社会主义正在共同努力谋求和平发展,,,供给侧转移是社会主义发展的必然的无奈之举，说明当前社会主义发展状况堪忧,中国作为社会主义发展最为良好的一国，在受到多种阻碍时也积极地构建自贸区，社会主义具有强劲发展能力,,,时时关注,扩大中国在国际上的影响,有利于中国相关产业在国外的发展,,提高中国软实力,自然的馈赠,主食的故事,,时间的味道,,五味的调和,,,紫砂,歙砚,玉雕,有利于文化教育更便捷更广泛的交流和传播,不清楚,不清楚,错误,不清楚,不清楚,不清楚,不清楚,,应保留，但更应作为定罪参考而非单项罪名；,应废止，因为可能对选择性执法开方便之门；,,,《医疗事故处理条例》作为行政法规没有足够的效力解决医闹乱象，应适当修订其中一些条款并加入刑法；,,医疗体系的弊病是一个系统问题，很难单靠立法与执法缓解矛盾、解决问题。,人贩子最高量刑应当定为死刑，只有加大量刑才能最有效地打击拐卖人口犯罪；,,无法生育或子女夭折的夫妻应谋求其他人道方式解决困难，自愿过继与领养决不能合法化。,,,政府执法体系权责脱节，出现权钱交易，以权压法,,政府立法效率低，法律条款漏洞很多，部分条款可操作性不强,,,,,保护和扩大个体自由,,,不认同，会削弱国家军力,,经济利益,,社会主义思想和共产主义思想是相同的,按需分配,按劳分配,否,否,
82,111.30.132.146,,,,,,,,,2015-12-02 18:36:22,2015-12-02 18:39:21,正常完成,本科,,,自由,,文明,,公正,,爱国,,,,,,,人民生活水平和质量显著提高,国民素质和社会文明程度显著提高,,,,,中国加入SDR是种必然趋势，无论是哪种政治制度效果相似,,,说明政策对于社会主义先天性地有极大影响，政府调控才是国家社会主义的主导,,政府深刻了解到了当前我国社会主义发展的不平衡，是种合时宜之举,,,中国作为社会主义发展最为良好的一国，在受到多种阻碍时也积极地构建自贸区，社会主义具有强劲发展能力,,,时时关注,扩大中国在国际上的影响,,,,,主食的故事,,,厨房的秘密,,,,,,,文化教育是一个逐步积累，循序渐进的过程，应采取传统方式教学,正确,正确,错误,错误,正确,不清楚,错误,应保留，此条法律对贪官们形成了有力的打击和震慑；,,,,患者家属殴打、逼医生集体下跪等行为已触犯刑法；,《医疗事故处理条例》作为行政法规没有足够的效力解决医闹乱象，应适当修订其中一些条款并加入刑法；,,,,应当出台相关法律，建立合法的平台与审批手续，允许双方自愿 过继 和 收养 子女；,,,政府执法不严、执法犯法,,,,政治法律不分家（在我国政府是执法主体）,,,,,,由国家按统治阶级的利益制定或认可，并由国家强制力保证实施的规范综合,认同，有助于提高军队素质,,经济利益,,共产主义思想包含社会主义思想,按劳分配,按需分配,否,否,
83,117.136.40.205,,,,,,,,,2015-12-02 18:35:18,2015-12-02 18:41:10,正常完成,本科,,民主,自由,平等,,,公正,,,,,,,,经济保持中高速增长,人民生活水平和质量显著提高,,,,,,中国加入SDR是种必然趋势，无论是哪种政治制度效果相似,,,说明政策对于社会主义先天性地有极大影响，政府调控才是国家社会主义的主导,,政府深刻了解到了当前我国社会主义发展的不平衡，是种合时宜之举,,,,社会主义受到资本主义的阻力可以理解，但是这也正是中国等社会主义国家的发展黄金期，是挑战更是机遇,,一周一次,扩大中国在国际上的影响,,,,自然的馈赠,主食的故事,转化的灵感,时间的味道,厨房的秘密,五味的调和,我们的田野,,,,,时代影响教育方式，顺其自然,正确,不清楚,不清楚,错误,正确,正确,错误,,应保留，但更应作为定罪参考而非单项罪名；,,,患者家属殴打、逼医生集体下跪等行为已触犯刑法；,《医疗事故处理条例》作为行政法规没有足够的效力解决医闹乱象，应适当修订其中一些条款并加入刑法；,,,,应当出台相关法律，建立合法的平台与审批手续，允许双方自愿 过继 和 收养 子女；,,,,,公民法律与权力意识淡薄,政府立法效率低，法律条款漏洞很多，部分条款可操作性不强,,,基层法治工作薄弱,,保护和扩大个体自由,,,认同，有助于减少国家军费开支,,经济利益,,社会主义社会是共产主义社会的初级阶段,按劳分配,按需分配,否,否,
84,223.104.11.114,,,,,,,,,2015-12-02 18:38:41,2015-12-02 18:43:15,正常完成,本科,富强,民主,,平等,文明,,,,,,,,社会文明,,,,国民素质和社会文明程度显著提高,生态环境质量总体改善,,,,中国加入SDR是种必然趋势，无论是哪种政治制度效果相似,,,说明政策对于社会主义先天性地有极大影响，政府调控才是国家社会主义的主导,,政府深刻了解到了当前我国社会主义发展的不平衡，是种合时宜之举,,,,社会主义受到资本主义的阻力可以理解，但是这也正是中国等社会主义国家的发展黄金期，是挑战更是机遇,,每天一次,扩大中国在国际上的影响,,,,,主食的故事,,,,五味的调和,,,,,,文化教育是一个逐步积累，循序渐进的过程，应采取传统方式教学,不清楚,正确,错误,错误,正确,错误,正确,,应保留，但更应作为定罪参考而非单项罪名；,,,患者家属殴打、逼医生集体下跪等行为已触犯刑法；,,应通过规范出台相关法律法规来规范医疗行业乱收费、药价虚高等现象；,,,应当出台相关法律，建立合法的平台与审批手续，允许双方自愿 过继 和 收养 子女；,无法生育或子女夭折的夫妻应谋求其他人道方式解决困难，自愿过继与领养决不能合法化。,公民有法不依、知法犯法,,,公民法律与权力意识淡薄,,,,,,保护和扩大个体自由,预防犯罪，制裁犯罪,,认同，有助于减少国家军费开支,,经济利益,,社会主义思想包含共产主义思想,按资本分配,按资本分配,否,是,
85,223.104.11.101,,,,,,,,,2015-12-02 18:43:21,2015-12-02 18:44:54,正常完成,本科,,,,平等,,,,,,,,,,,,,国民素质和社会文明程度显著提高,,,,,中国加入SDR是种必然趋势，无论是哪种政治制度效果相似,,,说明政策对于社会主义先天性地有极大影响，政府调控才是国家社会主义的主导,,,,供给侧转移是社会主义发展的必然的无奈之举，说明当前社会主义发展状况堪忧,,社会主义受到资本主义的阻力可以理解，但是这也正是中国等社会主义国家的发展黄金期，是挑战更是机遇,,每天一次,,有利于中国相关产业在国外的发展,,,,,转化的灵感,,,,,,,,,时代影响教育方式，顺其自然,不清楚,不清楚,错误,错误,正确,不清楚,不清楚,,应保留，但更应作为定罪参考而非单项罪名；,,,,《医疗事故处理条例》作为行政法规没有足够的效力解决医闹乱象，应适当修订其中一些条款并加入刑法；,,,,应当出台相关法律，建立合法的平台与审批手续，允许双方自愿 过继 和 收养 子女；,,,政府执法不严、执法犯法,,,,,,,,,预防犯罪，制裁犯罪,,不认同，会影响国家发展,,经济利益,,社会主义思想和共产主义思想是相同的,按劳动价格分配,按劳分配,否,否,
86,223.104.11.106,,,,,,,,,2015-12-02 18:45:16,2015-12-02 18:48:10,正常完成,本科,富强,,,,,和谐,,,,,,,,全面建成小康社会,经济保持中高速增长,,,,,,此举说明我国社会主义发展良好，我国经济实力以及综合国力提升得到世界认可的体现,,,国际经济的发展时期以及发展阶段不同，经济存在差距是正常现象,说明政策对于社会主义先天性地有极大影响，政府调控才是国家社会主义的主导,当前社会主义发展存在不均衡，但是各社会主义正在共同努力谋求和平发展,政府深刻了解到了当前我国社会主义发展的不平衡，是种合时宜之举,供给侧转移有利于使社会福利实现均衡化，使更多的保障资源流向社会底层,,中国作为社会主义发展最为良好的一国，在受到多种阻碍时也积极地构建自贸区，社会主义具有强劲发展能力,社会主义受到资本主义的阻力可以理解，但是这也正是中国等社会主义国家的发展黄金期，是挑战更是机遇,我们社会主义国家同命运，共存亡，作为经济全球化的一大成员，时刻为全球发展注入了新的活力,时时关注,扩大中国在国际上的影响,,,,自然的馈赠,,转化的灵感,,,,,,,,,有利于文化教育更便捷更广泛的交流和传播,正确,错误,不清楚,错误,正确,不清楚,错误,应保留，此条法律对贪官们形成了有力的打击和震慑；,,,,患者家属殴打、逼医生集体下跪等行为已触犯刑法；,《医疗事故处理条例》作为行政法规没有足够的效力解决医闹乱象，应适当修订其中一些条款并加入刑法；,,,人贩子最高量刑应当定为死刑，只有加大量刑才能最有效地打击拐卖人口犯罪；,应当出台相关法律，建立合法的平台与审批手续，允许双方自愿 过继 和 收养 子女；,,公民有法不依、知法犯法,政府执法不严、执法犯法,,公民法律与权力意识淡薄,,,,,构建理想社会的一种手段,,,,认同，有助于提高军队素质,,经济利益,,社会主义思想包含共产主义思想,按劳分配,按需分配,是,否,易凯长得最帅最帅啦，加油，社会主义加油！
87,112.17.235.54,,,,,,,,,2015-12-02 18:53:52,2015-12-02 19:01:22,正常完成,本科,,民主,,平等,文明,,,,,,诚信,,,,,,国民素质和社会文明程度显著提高,生态环境质量总体改善,,,此举说明我国社会主义发展良好，我国经济实力以及综合国力提升得到世界认可的体现,,,国际经济的发展时期以及发展阶段不同，经济存在差距是正常现象,,,政府深刻了解到了当前我国社会主义发展的不平衡，是种合时宜之举,,,中国作为社会主义发展最为良好的一国，在受到多种阻碍时也积极地构建自贸区，社会主义具有强劲发展能力,,,一周一次,,,实质上并没有什么作用,,自然的馈赠,,,,,,,,,,,有利于文化教育更便捷更广泛的交流和传播,不清楚,正确,不清楚,不清楚,不清楚,不清楚,错误,,应保留，但更应作为定罪参考而非单项罪名；,,,,《医疗事故处理条例》作为行政法规没有足够的效力解决医闹乱象，应适当修订其中一些条款并加入刑法；,,,人贩子最高量刑应当定为死刑，只有加大量刑才能最有效地打击拐卖人口犯罪；,,,,,政府执法体系权责脱节，出现权钱交易，以权压法,,政府立法效率低，法律条款漏洞很多，部分条款可操作性不强,,,,,,,由国家按统治阶级的利益制定或认可，并由国家强制力保证实施的规范综合,认同，有助于提高军队素质,,经济利益,领土争端,共产主义思想包含社会主义思想,按劳分配,按需分配,否,否,
88,223.104.11.123,,,,,,,,,2015-12-02 19:00:33,2015-12-02 19:04:37,正常完成,本科,,,,,文明,,,,,,诚信,,,,,人民生活水平和质量显著提高,国民素质和社会文明程度显著提高,,,,,中国加入SDR是种必然趋势，无论是哪种政治制度效果相似,,,,当前社会主义发展存在不均衡，但是各社会主义正在共同努力谋求和平发展,政府深刻了解到了当前我国社会主义发展的不平衡，是种合时宜之举,,,中国作为社会主义发展最为良好的一国，在受到多种阻碍时也积极地构建自贸区，社会主义具有强劲发展能力,,,时时关注,扩大中国在国际上的影响,,,,,,,,厨房的秘密,,,,,,,时代影响教育方式，顺其自然,正确,错误,正确,不清楚,正确,不清楚,不清楚,,应保留，但更应作为定罪参考而非单项罪名；,,,,《医疗事故处理条例》作为行政法规没有足够的效力解决医闹乱象，应适当修订其中一些条款并加入刑法；,,,人贩子最高量刑应当定为死刑，只有加大量刑才能最有效地打击拐卖人口犯罪；,应当出台相关法律，建立合法的平台与审批手续，允许双方自愿 过继 和 收养 子女；,,,政府执法不严、执法犯法,,,,,司法公信力低,,,,,由国家按统治阶级的利益制定或认可，并由国家强制力保证实施的规范综合,认同，有助于提高军队素质,,经济利益,,社会主义思想包含共产主义思想,按劳分配,按需分配,否,否,
89,113.200.204.151,,,,,,,,,2015-12-02 19:07:09,2015-12-02 19:07:12,正常完成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
